序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
43,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S2000A6635,繁星推甄,繁星生,餐旅群,327,桃園市清華高級中等學校,餐飲技術科
44,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SD33941CF9,繁星推甄,繁星生,餐旅群,412,台中縣私立大明高中,餐飲管理科
45,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S86ECFBC26,繁星推甄,繁星生,餐旅群,540,台中縣私立青年高中,餐飲管理科
46,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S95848E9F8,繁星推甄,繁星生,餐旅群,334,桃園縣私立大興高級中學,餐飲管理科
47,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S01EB43AD3,甄選入學,甄選一般生,餐旅群,244,,
48,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S37E4ED32E,甄選入學,甄選一般生,餐旅群,104,台北市私立普林思頓高級中學,餐飲管理科
49,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SF56AF87CD,甄選入學,甄選一般生,餐旅群,412,台中市明德高級中學,餐飲管理科
50,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S032D06778,甄選入學,甄選一般生,餐旅群,600,嘉義市國立嘉義家職,餐飲管理科
51,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S2A9344007,甄選入學,甄選一般生,餐旅群,326,桃園縣私立永平工商,餐飲管理科
52,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S8721BAEF1,甄選入學,甄選一般生,餐旅群,433,台中縣私立大明高中,餐飲管理科
53,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S06CBCAFA8,甄選入學,甄選一般生,餐旅群,334,桃園縣私立永平工商,餐飲管理科
54,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S7C79DEE0C,甄選入學,甄選一般生,餐旅群,412,台中縣國立霧峰農工,餐飲管理科
55,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SEF89EE5D7,甄選入學,甄選一般生,餐旅群,411,台中市明德高級中學,餐飲管理科
56,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S547FF4DF2,甄選入學,甄選一般生,餐旅群,330,桃園縣私立育達高中,餐飲管理科
57,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S8657FC277,甄選入學,甄選一般生,餐旅群,338,桃園縣私立育達高中,餐飲管理科
58,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S33BCB5E91,甄選入學,甄選一般生,餐旅群,330,桃園縣私立育達高中,觀光事業科
59,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S43A6963D2,甄選入學,甄選一般生,餐旅群,266,宜蘭縣國立羅東高商,餐飲管理科
60,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S2E1985F3C,甄選入學,甄選一般生,餐旅群,408,台中市私立嶺東高中,觀光事業科
61,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S96E1E6738,甄選入學,甄選一般生,餐旅群,402,台中市私立嶺東高中,觀光事業科
62,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SC3DCC8DE7,甄選入學,中低/低收入戶生,餐旅群,830,高雄縣私立中山工商,餐飲管理科
63,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S3712FA7E6,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
64,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SE4507B7BA,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
65,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S99AD361D8,甄選入學,離島地區,餐旅群,885,澎湖縣國立澎湖海事高職,餐飲管理科
66,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SFE84E855E,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
67,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S213831C2E,甄選入學,離島地區,餐旅群,885,澎湖縣國立馬公高中,觀光事業科
68,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SDD158C375,甄選入學,離島地區,餐旅群,884,澎湖縣國立馬公高中,觀光事業科
69,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SF35221277,運動績優單招,一般生,,438,台中縣國立大甲高中,普通科
70,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S77234CA31,運動績優單招,一般生,,514,彰化縣立成功高級中學,普通科
71,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S10A54D3D3,運動績優單招,一般生,,333,桃園縣國立桃園農工,普通科
72,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SDAFE9CAC8,運動績優單招,一般生,,721,臺南縣國立曾文農工,食品科
73,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S3E876D7FA,運動績優單招,一般生,,438,台中縣國立大甲高中,普通科
74,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S0BFCC0CB6,聯合登記分發,聯登一般生,食品群,632,雲林縣國立虎尾農工,食品加工科
75,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S42CF3F7FA,聯合登記分發,聯登一般生,食品群,820,高雄縣國立岡山農工,食品加工科
76,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SC35D52093,聯合登記分發,聯登一般生,餐旅群,105,台北市市立士林高商,國際貿易科
77,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S000CBE726,聯合登記分發,聯登一般生,餐旅群,411,台中市明德高級中學,餐飲管理科
78,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SD84C1BB26,聯合登記分發,聯登一般生,餐旅群,408,台中市國立台中高農,餐飲管理科
79,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S3D845835A,聯合登記分發,聯登一般生,餐旅群,412,台中市國立台中高農,餐飲管理科
80,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S777CB15F1,聯合登記分發,聯登一般生,餐旅群,404,台中市私立新民高中,觀光事業科
81,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S01282A690,聯合登記分發,聯登一般生,餐旅群,413,台中縣私立僑泰高中,觀光事業科
82,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S6E219FDD1,聯合登記分發,聯登一般生,餐旅群,406,台中市明德高級中學,餐飲管理科
83,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SDBB4E68C0,聯合登記分發,聯登一般生,餐旅群,504,彰化縣國立溪湖高中,綜合高中部
84,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S9AA3BAF63,聯合登記分發,聯登一般生,餐旅群,515,彰化縣國立員林家商,家政科
85,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SB45438608,聯合登記分發,聯登一般生,餐旅群,812,高雄縣私立中山工商,餐飲管理科
86,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SD8B51B3FF,僑生單招,僑生,,,峇株吧轄華仁中學,普通科
87,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S70E21CAB6,繁星推甄,繁星生,電機與電子群電子類,912,高雄縣私立高英工商,資訊科
88,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SB62E2C04A,技優甄審,技優生,電子類,305,新竹縣私立內思高工,電子科
89,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S60B4FAB3C,技優甄審,技優生,電子類,305,新竹縣私立內思高工,電子科
90,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S561B91E50,技優甄審,技優生,電子類,973,花蓮縣私立四維高中,綜合高中部
91,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S37D06AC91,技優甄審,技優生,電子類,830,高雄縣私立中山工商,電子科
92,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S5DB00FB37,技優甄審,技優生,電子類,804,高雄市市立海青工商,資訊科
93,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S19E566B53,甄選入學,甄選一般生,電機與電子群資電類,327,桃園縣國立楊梅高中,資訊科
94,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S060D693CE,甄選入學,甄選一般生,電機與電子群資電類,324,桃園縣國立楊梅高中,資訊科
95,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S0368973F8,甄選入學,甄選一般生,電機與電子群資電類,880,澎湖縣國立澎湖海事高職,電子科
96,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S6CEBE110A,甄選入學,甄選一般生,電機與電子群資電類,701,臺南縣國立新營高工,資訊科
97,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SFCE8D874D,甄選入學,甄選一般生,電機與電子群資電類,221,新北市立樟樹國際實創高級中學,資訊科
98,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S0AFE98A6C,甄選入學,甄選一般生,電機與電子群資電類,324,桃園縣私立育達高中,資訊科
99,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SBFA1AFC23,甄選入學,甄選一般生,電機與電子群資電類,320,桃園縣私立育達高中,資訊科
100,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S46A367DF7,甄選入學,甄選一般生,電機與電子群資電類,235,台北市市立木柵高工,電子科
101,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SD87B58324,甄選入學,甄選一般生,電機與電子群資電類,237,台北縣私立中華高中,資訊科
102,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S3ACA7A36D,甄選入學,甄選一般生,電機與電子群資電類,330,桃園縣私立新興高中,電子科
103,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S77AA08CE8,甄選入學,甄選一般生,電機與電子群資電類,330,桃園縣私立振聲高中,資訊科
104,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S2C2878C96,甄選入學,甄選一般生,電機與電子群資電類,328,桃園縣私立六和高中,資訊科
105,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S2FE2BFB99,甄選入學,甄選一般生,電機與電子群資電類,244,台北市市立內湖高工,電機科
106,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SE95552502,甄選入學,甄選一般生,電機與電子群資電類,241,台北市市立內湖高工,電子科
107,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S64FB81E0D,甄選入學,甄選一般生,電機與電子群電機類,270,宜蘭縣國立羅東高工,電機科
108,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S8F042A795,甄選入學,離島地區,電機與電子群資電類,885,澎湖縣國立澎湖海事高職,電子科
109,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SF51D70FA9,甄選入學,離島地區,電機與電子群資電類,880,澎湖縣國立澎湖海事高職,資訊科
110,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S66C4611E1,聯合登記分發,聯登一般生,動力機械群,433,台中市國立台中高工,汽車科
111,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SC12DC5715,聯合登記分發,聯登一般生,動力機械群,429,台中縣國立沙鹿高工,汽車科
112,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SF2CCA7F9E,聯合登記分發,聯登一般生,電機與電子群電機類,516,台中市國立台中高工,冷凍空調科
113,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SDF30DD501,聯合登記分發,聯登一般生,電機與電子群電機類,811,高雄市市立高雄高工,電機科
114,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S546BD9E26,聯合登記分發,聯登一般生,電機與電子群資電類,234,台北市市立內湖高工,電機科
115,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SD3F8D7F59,聯合登記分發,聯登一般生,電機與電子群資電類,238,台北縣鶯歌工商,資訊科
116,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S913AECB48,聯合登記分發,聯登一般生,電機與電子群資電類,237,台北縣鶯歌工商,資訊科
117,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S2F123DE43,聯合登記分發,聯登一般生,電機與電子群資電類,248,台北縣私立東海高中,資訊科
118,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SDBE9F7196,聯合登記分發,聯登一般生,電機與電子群資電類,320,桃園縣國立桃園農工,電子科
119,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SB56DF7761,聯合登記分發,聯登一般生,電機與電子群資電類,324,桃園縣國立龍潭高級中學,電子科
120,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SA16B2E37E,聯合登記分發,聯登一般生,電機與電子群資電類,320,桃園縣國立楊梅高中,資訊科
121,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S1EDDE9C0C,聯合登記分發,聯登一般生,電機與電子群資電類,320,桃園縣國立楊梅高中,資訊科
122,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SFEC7C56CE,聯合登記分發,聯登一般生,電機與電子群資電類,326,桃園縣國立楊梅高中,資訊科
123,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S28CEC14AC,聯合登記分發,聯登一般生,電機與電子群資電類,324,桃園縣私立啟英高中,資訊科
124,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S215BE3AA5,聯合登記分發,聯登一般生,電機與電子群資電類,328,桃園縣國立楊梅高中,電子科
125,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S9E47422F0,聯合登記分發,聯登一般生,電機與電子群資電類,432,台中市私立嶺東高中,電子科
126,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S94575F85C,聯合登記分發,聯登一般生,電機與電子群資電類,401,台中市私立新民高中,資訊科
127,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SCA4DA6BE5,聯合登記分發,聯登一般生,電機與電子群資電類,412,台中縣私立明道高中,資訊科
128,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S7078A0C61,聯合登記分發,聯登一般生,電機與電子群資電類,402,台中縣私立僑泰高中,資訊科
129,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SA56E42BAB,聯合登記分發,聯登一般生,電機與電子群資電類,638,雲林縣國立西螺農工,電子科
130,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SE38B02463,聯合登記分發,聯登一般生,電機與電子群資電類,637,雲林縣國立西螺農工,電子科
131,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S925C00515,聯合登記分發,聯登一般生,電機與電子群資電類,704,國立成功大學附設高級工業職業進修學校,資訊科
132,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S7B708C458,聯合登記分發,聯登一般生,電機與電子群資電類,804,高雄市市立海青工商,電子科
133,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SACC30EBC9,聯合登記分發,聯登一般生,電機與電子群資電類,807,高雄市市立高雄高工,建築科
134,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S27C761740,繁星推甄,繁星生,水產群,709,台南市國立台南海事,水產養殖技術科
135,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S74EAFE3BC,繁星推甄,繁星生,水產群,710,台南市國立台南海事,水產養殖技術科
136,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SD6E8E0106,繁星推甄,繁星生,水產群,247,,
137,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SED596FD0A,技優甄審,技優生,水產類,711,台南市國立台南海事,水產養殖科
138,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SAD0F99AFA,技優甄審,技優生,水產類,209,連江縣國立馬祖高中,綜合高中部
139,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S1B5487B12,甄選入學,甄選一般生,水產群,335,桃園縣國立龍潭高級中學,園藝科
140,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S6857C029C,甄選入學,甄選一般生,水產群,852,台南市國立台南海事,水產養殖科
141,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S0BA7860DA,甄選入學,甄選一般生,水產群,260,宜蘭縣國立宜蘭高商,資料處理科
142,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S250B2DE87,甄選入學,甄選一般生,水產群,105,台北市私立開平餐飲職業學校,餐飲管理科
143,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SD42C8A7D7,甄選入學,甄選一般生,農業群,360,苗栗縣國立苗栗農工,農場經營科
144,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SDCE9EE3F1,甄選入學,甄選一般生,農業群,325,桃園縣國立龍潭高級中學,畜產保健科
145,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SD673E4CCF,甄選入學,甄選一般生,農業群,320,桃園縣國立龍潭高級中學,園藝科
146,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S85C49E41A,甄選入學,甄選一般生,農業群,324,桃園縣國立龍潭高級中學,畜產保健科
147,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SDF859D146,甄選入學,甄選一般生,農業群,239,台北縣國立淡水商工,園藝科
148,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SF523691A3,甄選入學,甄選一般生,農業群,252,台北縣國立淡水商工,園藝科
149,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S18D53C0D1,甄選入學,甄選一般生,農業群,633,雲林縣國立西螺農工,畜產保健科
150,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S9285DAA6E,甄選入學,甄選一般生,農業群,253,台北縣國立淡水商工,園藝科
151,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SFB001AB4D,甄選入學,甄選一般生,農業群,712,台南縣國立台南大學附屬高級中學,綜合高中部
152,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S007DD2433,甄選入學,甄選一般生,農業群,235,台北市市立木柵高工,機械科
153,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SBF233014C,甄選入學,甄選一般生,農業群,105,台北市市立松山工農,園藝科
154,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SE52C35245,甄選入學,甄選一般生,農業群,238,台北市市立松山工農,園藝科
